SID,URL
696,https://www.ratemyprofessors.com/school/696
665,https://www.ratemyprofessors.com/school/665
5012,https://www.ratemyprofessors.com/school/5012
7430,https://www.ratemyprofessors.com/school/7430
4921,https://www.ratemyprofessors.com/school/4921
358,https://www.ratemyprofessors.com/school/358
20,https://www.ratemyprofessors.com/school/20
3358,https://www.ratemyprofessors.com/school/3358
6632,https://www.ratemyprofessors.com/school/6632
3525,https://www.ratemyprofessors.com/school/3525
6097,https://www.ratemyprofessors.com/school/6097
2352,https://www.ratemyprofessors.com/school/2352
8243,https://www.ratemyprofessors.com/school/8243
530,https://www.ratemyprofessors.com/school/530
7610,https://www.ratemyprofessors.com/school/7610
9280,https://www.ratemyprofessors.com/school/9280
3363,https://www.ratemyprofessors.com/school/3363
6999,https://www.ratemyprofessors.com/school/6999
1374,https://www.ratemyprofessors.com/school/1374
8903,https://www.ratemyprofessors.com/school/8903
4397,https://www.ratemyprofessors.com/school/4397
7000,https://www.ratemyprofessors.com/school/7000
2657,https://www.ratemyprofessors.com/school/2657
4208,https://www.ratemyprofessors.com/school/4208
6573,https://www.ratemyprofessors.com/school/6573
7981,https://www.ratemyprofessors.com/school/7981
1044,https://www.ratemyprofessors.com/school/1044
2497,https://www.ratemyprofessors.com/school/2497
8269,https://www.ratemyprofessors.com/school/8269
4282,https://www.ratemyprofessors.com/school/4282
7711,https://www.ratemyprofessors.com/school/7711
4257,https://www.ratemyprofessors.com/school/4257
7758,https://www.ratemyprofessors.com/school/7758
9405,https://www.ratemyprofessors.com/school/9405
9464,https://www.ratemyprofessors.com/school/9464
2358,https://www.ratemyprofessors.com/school/2358
9262,https://www.ratemyprofessors.com/school/9262
4284,https://www.ratemyprofessors.com/school/4284
2787,https://www.ratemyprofessors.com/school/2787
2460,https://www.ratemyprofessors.com/school/2460
3636,https://www.ratemyprofessors.com/school/3636
762,https://www.ratemyprofessors.com/school/762
9274,https://www.ratemyprofessors.com/school/9274
5326,https://www.ratemyprofessors.com/school/5326
2460,https://www.ratemyprofessors.com/school/2460
6541,https://www.ratemyprofessors.com/school/6541
206,https://www.ratemyprofessors.com/school/206
4881,https://www.ratemyprofessors.com/school/4881
5358,https://www.ratemyprofessors.com/school/5358
9265,https://www.ratemyprofessors.com/school/9265
8869,https://www.ratemyprofessors.com/school/8869
3635,https://www.ratemyprofessors.com/school/3635
870,https://www.ratemyprofessors.com/school/870
7445,https://www.ratemyprofessors.com/school/7445
4765,https://www.ratemyprofessors.com/school/4765
784,https://www.ratemyprofessors.com/school/784
412,https://www.ratemyprofessors.com/school/412
3764,https://www.ratemyprofessors.com/school/3764
8653,https://www.ratemyprofessors.com/school/8653
5896,https://www.ratemyprofessors.com/school/5896
9838,https://www.ratemyprofessors.com/school/9838
9409,https://www.ratemyprofessors.com/school/9409
9488,https://www.ratemyprofessors.com/school/9488
8688,https://www.ratemyprofessors.com/school/8688
8949,https://www.ratemyprofessors.com/school/8949
6032,https://www.ratemyprofessors.com/school/6032
9176,https://www.ratemyprofessors.com/school/9176
6246,https://www.ratemyprofessors.com/school/6246
4286,https://www.ratemyprofessors.com/school/4286
3739,https://www.ratemyprofessors.com/school/3739
1715,https://www.ratemyprofessors.com/school/1715
3744,https://www.ratemyprofessors.com/school/3744
1550,https://www.ratemyprofessors.com/school/1550
9960,https://www.ratemyprofessors.com/school/9960
2256,https://www.ratemyprofessors.com/school/2256
5932,https://www.ratemyprofessors.com/school/5932
2536,https://www.ratemyprofessors.com/school/2536
7612,https://www.ratemyprofessors.com/school/7612
2129,https://www.ratemyprofessors.com/school/2129
1128,https://www.ratemyprofessors.com/school/1128
1523,https://www.ratemyprofessors.com/school/1523
5350,https://www.ratemyprofessors.com/school/5350
8283,https://www.ratemyprofessors.com/school/8283
9370,https://www.ratemyprofessors.com/school/9370
9750,https://www.ratemyprofessors.com/school/9750
8302,https://www.ratemyprofessors.com/school/8302
8980,https://www.ratemyprofessors.com/school/8980
5324,https://www.ratemyprofessors.com/school/5324
460,https://www.ratemyprofessors.com/school/460
5668,https://www.ratemyprofessors.com/school/5668
8722,https://www.ratemyprofessors.com/school/8722
6695,https://www.ratemyprofessors.com/school/6695
9717,https://www.ratemyprofessors.com/school/9717
6261,https://www.ratemyprofessors.com/school/6261
8739,https://www.ratemyprofessors.com/school/8739
5415,https://www.ratemyprofessors.com/school/5415
2350,https://www.ratemyprofessors.com/school/2350
2055,https://www.ratemyprofessors.com/school/2055
8539,https://www.ratemyprofessors.com/school/8539
6303,https://www.ratemyprofessors.com/school/6303
2193,https://www.ratemyprofessors.com/school/2193
5212,https://www.ratemyprofessors.com/school/5212
2934,https://www.ratemyprofessors.com/school/2934
1749,https://www.ratemyprofessors.com/school/1749
5147,https://www.ratemyprofessors.com/school/5147
7477,https://www.ratemyprofessors.com/school/7477
